level_0,Date,Close,High,Low,Open,Volume,Month,Year,Daily Price Change,Percentage Price Change,MA7,MA30,Daily Return,Monthly Return,Volatility,High Low Difference
51,2022-08-19,168.37818908691406,170.5575254675204,168.1720291679761,169.8605242913159,70346300,August,2022,-1.482335204401835,-0.872677869438096,169.27433340890067,156.98464813232422,-1.5101968612025174,-1.5101968612025174,1.5649471963968076,2.3854962995443145
52,2022-08-22,164.5005340576172,166.74858025975374,164.0784028181707,166.58169604206546,69026800,August,2022,-2.081161984448272,-1.249334130877581,169.14530726841517,157.7340286254883,-2.302943778125144,-2.302943778125144,1.6082123820893328,2.6701774415830357
53,2022-08-23,164.16677856445312,165.6196796113523,163.5974008535258,164.0195321647684,54147100,August,2022,0.1472463996847182,0.08977369813297571,168.46233694893974,158.43993428548177,-0.20289021860996348,-0.20289021860996348,1.6129261797871508,2.0222787578264843
54,2022-08-24,164.46131896972656,165.03069679360976,163.20476617884324,164.25517396927194,53841500,August,2022,0.20614500045462592,0.12550289617859497,167.6685834612165,159.1677485148112,0.1794153530020104,0.1794153530020104,1.608120812628155,1.82593061476652
55,2022-08-25,166.91549682617188,167.0234825149317,165.26627719342727,165.68839353539587,51218200,August,2022,1.2271032907760002,0.7406090822613083,167.24786376953125,159.87999013264974,1.492252325239507,1.492252325239507,1.592652500343853,1.757205321504415
56,2022-08-26,160.6229248046875,167.91683533755338,160.5640262370915,167.44563181749547,78961000,August,2022,-6.822707012807967,-4.074580470539991,165.7150377546038,160.3269287109375,-3.7699148018817907,-3.7699148018817907,1.764337177819066,7.352809100461883
57,2022-08-29,158.42393493652344,159.91608162954805,156.89251255304256,158.19813716461735,73314000,August,2022,0.22579777190608752,0.1427309928884482,163.9241681780134,160.80186665852864,-1.3690386168960456,-1.3690386168960456,1.736474915940994,3.0235690765054812
58,2022-08-30,155.9991912841797,159.58232691391927,154.83098655063566,159.1602105704912,77906200,August,2022,-3.1610192863115003,-1.9860612617821978,162.1557399204799,161.06755676269532,-1.5305412362818016,-1.5305412362818016,1.7102589243971735,4.751340363283617
59,2022-08-31,154.34011840820312,157.63857209111154,154.261582013457,157.37351363125413,87991100,August,2022,-3.033395223051002,-1.9275131837995478,160.7042519705636,161.211284383138,-1.0635137671670791,-1.0635137671670791,1.710506144953723,3.37699007765454
60,2022-09-01,155.06658935546875,155.5181549609377,151.83684522830168,153.77076113952282,74229900,September,2022,1.2958282159459316,0.8427013083262109,159.4042249407087,161.30374196370443,0.4706948230687624,,1.6915800034907285,3.6813097326360094
61,2022-09-02,152.9559783935547,157.4226376540656,152.13136852434044,156.82381061062185,76957800,September,2022,-3.8678322170671606,-2.466355205888096,157.76060485839844,161.3670201619466,-1.3610997512015777,-1.3610997512015777,1.7044345704326376,5.291269129725151
62,2022-09-06,151.69940185546875,154.21250676362826,150.8747921160952,153.60386838160778,73714800,September,2022,-1.9044665261390321,-1.239855835796821,155.58687700544084,161.42566477457683,-0.8215282274569025,-0.8215282274569025,1.7058140176198426,3.337714647533062
63,2022-09-07,153.103271484375,153.800257954104,150.79631068052873,151.98415357893927,87449600,September,2022,1.1191179054357292,0.7363385452250251,154.51264081682478,161.5752192179362,0.9254285855680555,0.9254285855680555,1.7035604803056905,3.003947273575278
64,2022-09-08,151.63072204589844,153.4959132532277,149.88331299426738,151.80741774838046,84923800,September,2022,-0.1766957024820215,-0.11639464335984764,153.54218183244978,161.50609436035157,-0.9618014195254099,-0.9618014195254099,1.5943624762074722,3.6126002589603274
65,2022-09-09,154.48739624023438,154.92916542303703,151.91539245059826,152.62220516793604,68028800,September,2022,1.8651910722983303,1.2220967913849685,153.32621111188615,161.5138905843099,1.8839679425065592,1.8839679425065592,1.6311900930714451,3.0137729724387725
66,2022-09-12,160.43638610839844,161.25118449428555,156.38204700518378,156.66672837890903,104956000,September,2022,3.76965772948941,2.406163560377822,154.19710649762834,161.5513717651367,3.850793018035681,3.850793018035681,1.6733831314924732,4.8691374891017745
67,2022-09-13,151.0220184326172,157.5992875869502,150.5606265013506,156.97101144341687,122656600,September,2022,-5.948993010799683,-3.7898672857466473,153.6193106515067,161.3077184041341,-5.867975403921433,-5.867975403921433,1.9890104044922126,7.0386610855995855
68,2022-09-14,152.4651336669922,154.22235404144757,150.79627611743592,151.95465448242936,87965400,September,2022,0.5104791845628256,0.3359417888853498,153.5491899762835,161.16118520100912,0.9555661150290495,0.9555661150290495,1.9929325966239908,3.4260779240116506
69,2022-09-15,149.5789794921875,152.3964188629796,148.60712326254628,151.81721471946022,90481100,September,2022,-2.2382352272727246,-1.4742960680768062,153.24627249581474,160.7184616088867,-1.8929929127983414,-1.8929929127983414,1.8771282196167092,3.78929560043332
70,2022-09-16,147.93955993652344,148.57766259301448,145.65223775657734,148.44022763272653,162278800,September,2022,-0.5006676962030951,-0.33728572381460914,152.50859941755022,160.2315465291341,-1.0960226906412962,-1.0960226906412962,1.8831478133610864,2.925424836437145
71,2022-09-19,151.6503143310547,151.7288507316376,146.36887246061372,146.57501740526791,81474200,September,2022,5.075296925786773,3.4625934321085516,152.5113983154297,159.87584991455077,2.5082908156029537,2.5082908156029537,1.9515447113864623,5.359978271023891
72,2022-09-20,154.0260009765625,155.18439428665013,150.27598106267698,150.59011171978128,107689800,September,2022,3.4358892567812234,2.281616779177866,152.4454847063337,159.61504974365235,1.5665557015079212,1.5665557015079212,1.9781041961213024,4.908413223973156
73,2022-09-21,150.90426635742188,155.8323177224437,150.78646922639234,154.45795295017905,101696800,September,2022,-3.553686592757174,-2.300746918420852,151.08375331333704,159.2485549926758,-2.026758209229651,-2.026758209229651,2.007222816760214,5.045848496051349
74,2022-09-22,149.9422149658203,151.64052177438083,148.14573389948876,149.58880860884872,86652500,September,2022,0.35340635697158973,0.23625186954706745,150.92949567522322,158.70862884521483,-0.6375243157956234,-0.6375243157956234,1.935452559444312,3.4947878748920687
75,2022-09-23,147.67449951171875,148.6954577569954,145.83875792782328,148.42058784002563,96029900,September,2022,-0.7460883283068824,-0.5026851996510416,150.24511936732702,158.1176549275716,-1.5123929272476744,-1.5123929272476744,1.9475473228243294,2.856699829172129
76,2022-09-26,148.00828552246094,150.95333323742267,146.8989794231201,146.91861726875362,93339400,September,2022,1.0896682537073161,0.7416815336030697,150.02073451450892,157.4196787516276,0.22602819839974142,0.22602819839974142,1.893350095623166,4.054353814302573
77,2022-09-27,148.9801483154297,151.88593544780034,147.20330517830297,149.9422080635759,84442700,September,2022,-0.9620597481462028,-0.6416203686544931,150.16938999720983,156.7184305826823,0.6566272891670444,0.6566272891670444,1.893802545862301,4.682630269497366
78,2022-09-28,147.0952911376953,147.88064007446383,142.18687900699845,144.9355927960457,146691400,September,2022,2.1596983416496016,1.4901090201416176,149.5186723981585,155.95958913167317,-1.2651733798409448,-1.2651733798409448,1.8988655378935537,5.693761067465374
79,2022-09-29,139.87013244628906,144.03247205665744,138.1031007730531,143.42383363893248,128138200,September,2022,-3.553701192643416,-2.4777619608117645,147.49640546526228,154.91016998291016,-4.911889861003649,-4.911889861003649,2.0465670410864583,5.929371283604354
80,2022-09-30,135.6685333251953,140.4787870882612,135.47219979960417,138.69211755301987,124925300,September,2022,-3.023584227824557,-2.1800692650529956,145.3198721749442,153.7337870279948,-3.003928749911766,-3.003928749911766,2.088970371830026,5.006587288657045
81,2022-10-03,139.8406524658203,140.4493057292082,135.1678497151715,135.6783287485433,114311700,October,2022,4.162323717277019,3.067788169023793,143.87679181780135,152.78253580729168,3.07522978126733,,2.196163358999257,5.281456014036678
82,2022-10-04,143.42381286621094,143.541609967603,141.61750576224773,142.3734054478465,87830100,October,2022,1.0504074183644434,0.7377834470281203,143.26955086844308,152.0799784342448,2.562316706342904,2.562316706342904,2.2446833888558415,1.9241042053552633
83,2022-10-05,143.71832275390625,144.6803824609242,140.39041942925496,141.43101553965928,79471000,October,2022,2.2873072142469653,1.6172599804358836,142.65669904436385,151.3983632405599,0.2053423917617092,0.2053423917617092,2.2473522051910413,4.289963031669231
